Hour,Solar,Demand,Net Power,Battery Power,Energy,SOC,Sync_Error,Delay Steps,Attack,Attack_Detected,Spoofed_SOC,Replay Attack,Replay_SOC
0,0,25,-25,-20,28.94736842105263,28.947368421052634,0.44006841343145453,2,False,False,28.50730000762118,False,28.50730000762118
1,0,22,-22,-20,20.0,20.0,0.3503158279898777,2,False,False,20.350315827989878,False,20.350315827989878
2,0,20,-20,-20,20.0,20.0,8.507300007621179,2,False,False,20.102191870513135,False,20.102191870513135
3,0,18,-18,-18,20.0,20.0,0.3503158279898777,2,False,False,20.80040561247095,False,20.80040561247095
4,0,18,-18,-18,20.0,20.0,0.10219187051313483,2,True,False,40.03145744310125,True,28.50730000762118
5,5,20,-15,-15,20.0,20.0,0.80040561247095,2,True,False,39.51335589112916,False,39.51335589112916
6,15,25,-10,-10,20.0,20.0,8.507300007621179,2,False,False,19.836442824161512,False,19.836442824161512
7,30,25,5,5,24.75,24.75,14.763355891129159,2,False,False,25.334140805599006,False,25.334140805599006
8,45,35,10,10,34.25,34.25,14.413557175838488,2,False,False,34.15198478888126,False,34.15198478888126
9,60,40,20,20,53.25,53.25,27.915859194400998,2,False,False,53.246384864077584,False,53.246384864077584
10,75,45,30,20,72.25,72.25,38.09801521111874,2,False,False,73.47961441837428,False,73.47961441837428
11,80,50,30,20,91.25,91.25,38.00361513592242,2,False,False,91.5533184533229,True,25.334140805599006
12,85,55,30,20,100.0,100.0,26.520385581625717,2,False,False,100.22145277080352,False,100.22145277080352
13,80,60,20,20,100.0,100.0,74.665859194401,2,False,True,100.26980120644542,False,100.26980120644542
14,70,55,15,15,100.0,100.0,0.22145277080352344,2,False,True,100.54905070075715,False,100.54905070075715
15,55,50,5,5,100.0,100.0,0.2698012064454218,2,True,True,100.0,True,91.5533184533229
16,40,45,-5,-5,94.73684210526315,94.73684210526315,5.812208595493999,2,False,True,95.1843110617405,False,95.1843110617405
17,20,40,-20,-20,73.68421052631578,73.68421052631578,17.86910792700712,2,False,False,73.97871914635074,False,73.97871914635074
18,5,35,-30,-20,52.63157894736841,52.63157894736841,42.55273211437209,2,False,True,52.652513056518316,False,52.652513056518316
19,0,40,-40,-20,31.57894736842104,31.57894736842104,42.3997717779297,2,False,True,31.53545690000072,False,31.53545690000072
20,0,45,-45,-20,20.0,20.0,32.652513056518316,2,False,False,19.686504887269074,False,19.686504887269074
21,0,40,-40,-20,20.0,20.0,11.535456900000717,2,False,True,19.576521841970173,False,19.576521841970173
22,0,35,-35,-20,20.0,20.0,0.31349511273092645,2,False,True,19.89767747982213,False,19.89767747982213
23,0,30,-30,-20,20.0,20.0,0.4234781580298268,2,False,True,19.549189326409866,False,19.549189326409866
